signalname,date,ret,cum_return
BM,1994-05-31,0.853892817679557,1.0085389281767956
BM,1994-06-30,0.600544997920751,1.0145956582620448
BM,1994-07-29,-0.588023743781096,1.008629594888092
BM,1994-08-31,0.832374485986066,1.0170251702940452
BM,1994-09-30,0.0606705201132558,1.0176422047545453
BM,1994-10-31,0.214676852279136,1.0198268470071763
BM,1994-11-30,2.85327243106544,1.048925285277436
BM,1994-12-30,-0.913468179201339,1.0393436865728298
BM,1995-01-31,-0.343839265295218,1.0357700148770255
BM,1995-02-28,0.877620762061403,1.0448601475747927
BM,1995-03-31,2.29995366811497,1.0688914468656108
BM,1995-04-28,0.70972869478995,1.0764776761801715
BM,1995-05-31,-1.82160428456407,1.0568685127084978
BM,1995-06-30,-2.77981618050789,1.027489510785534
BM,1995-07-31,-0.603683663366339,1.021286724466119
BM,1995-08-31,0.336005970149254,1.0247183088326668
BM,1995-09-29,1.14308115276509,1.0364316706898662
BM,1995-10-31,-0.339515718408574,1.0329128222573094
BM,1995-11-30,-1.58770401622187,1.0165132238942594
BM,1995-12-29,1.57957628466771,1.0325698257094043
BM,1996-01-31,0.67659804016323,1.0395561729134708
BM,1996-02-29,-1.66022026315789,1.0222972506838528
BM,1996-03-29,1.35765678811598,1.0361765387024853
BM,1996-04-30,1.84174278394417,1.055260245332961
BM,1996-05-31,0.127718814235964,1.0566080112054037
BM,1996-06-28,3.39260155803776,1.09245451105591
BM,1996-07-31,2.9792995049505,1.1250020028956083
BM,1996-08-30,-1.65011791044776,1.1064381433529318
BM,1996-09-30,-1.1071735,1.094187953435836
BM,1996-10-31,0.75905101010101,1.1024933981487943
BM,1996-11-29,3.71283556253723,1.143427165109888
BM,1996-12-31,3.61969775383465,1.184815772522106
BM,1997-01-31,0.167879473684213,1.1868048350051437
BM,1997-02-28,2.45482899331631,1.2159388641889297
BM,1997-03-31,4.01836742706929,1.2647997554405739
BM,1997-04-30,-3.35944015895278,1.2223095645259667
BM,1997-05-30,-1.65288977910239,1.2021061346649262
BM,1997-06-30,1.77039652112593,1.2233881798532755
BM,1997-07-31,2.34880290113272,1.252123156913784
BM,1997-08-29,2.14509347485882,1.278982369049938
BM,1997-09-30,3.25510557043753,1.3206145953897965
BM,1997-10-31,3.18287642774648,1.362648126047838
BM,1997-11-28,0.384101861765125,1.3678820828692952
BM,1997-12-31,-2.27447620192308,1.3367699304240634
BM,1998-01-30,-0.68726799469151,1.3275827385295988
BM,1998-02-27,-0.242424329038137,1.3243643549832924
BM,1998-03-31,2.64507919790356,1.3593948410414052
BM,1998-04-30,3.42268842156152,1.405922690869034
BM,1998-05-29,3.1036092429219,1.4495570374511817
BM,1998-06-30,-1.47072314720812,1.428238066569403
BM,1998-07-31,2.05040932069511,1.4575227930080576
BM,1998-08-31,4.28474680792892,1.5199739543563069
BM,1998-09-30,-6.85982753854333,1.415706362456687
BM,1998-10-30,-4.65861221118402,1.3497540929807708
BM,1998-11-30,-4.26495541346973,1.2921876827236582
BM,1998-12-31,-5.97806672925913,1.2149398407831706
BM,1999-01-29,0.457065773869347,1.2204929149684933
BM,1999-02-26,2.51023255957551,1.2511301255073448
BM,1999-03-31,-6.69449464669244,1.1673732862320991
BM,1999-04-30,8.32069233237629,1.2645068257498224
BM,1999-05-28,1.72699252243562,1.2863447640762098
BM,1999-06-30,3.90151345362643,1.3365316781066623
BM,1999-07-30,3.12945741089539,1.3783578677561357
BM,1999-08-31,0.922189788177338,1.3910689432571215
BM,1999-09-30,2.06378791482163,1.419777655994899
BM,1999-10-29,-3.68553323316062,1.367451278646218
BM,1999-11-30,-0.698079434974747,1.3579053824866896
BM,1999-12-31,0.475173076105443,1.364357783263253
BM,2000-01-31,8.10030561835107,1.4748749334353364
BM,2000-02-29,8.02863732604945,1.593287292853673
BM,2000-03-31,-4.89701073893042,1.515263843020615
BM,2000-04-28,-3.54192964931244,1.4615942636993566
BM,2000-05-31,-1.07253084964839,1.4459182143244897
BM,2000-06-30,-0.934334788034681,1.432408497441526
BM,2000-07-31,2.43905623645035,1.4673457462298185
BM,2000-08-31,-0.0781049722479192,1.4661996762419447
BM,2000-09-29,0.968120189357413,1.480394251323936
BM,2000-10-31,-5.56386931939029,1.3980270497685061
BM,2000-11-30,2.51360658469945,1.4331679497473668
BM,2000-12-29,-1.70040781565657,1.4087982499183775
BM,2001-01-31,11.4472490073145,1.5700668935972233
BM,2001-02-28,4.83005488687036,1.6459019863185496
BM,2001-03-30,4.83552536085879,1.7254899942818616
BM,2001-04-30,-4.52494867864693,1.6474124575854194
BM,2001-05-31,3.78403526362363,1.7097511259177804
BM,2001-06-29,0.346409006986027,1.7156738578150048
BM,2001-07-31,3.64551170013073,1.778218949037735
BM,2001-08-31,1.69868250654816,1.8084252432531636
BM,2001-09-28,1.84491918831168,1.8417892275722134
BM,2001-10-31,-5.72573503349974,1.736333256525887
BM,2001-11-30,0.152231345029236,1.7389764999964865
BM,2001-12-31,0.912604784722578,1.7548464827406556
BM,2002-01-31,10.8646794895996,1.9455049286249395
BM,2002-02-28,2.89260966329966,2.0017807921903157
BM,2002-03-28,4.25962047860101,2.0870490567511557
BM,2002-04-30,9.93689969116249,2.2944370280258712
BM,2002-05-31,6.13211476861821,2.4351345398780904
BM,2002-06-28,5.29431933956437,2.5640583387672677
BM,2002-07-31,1.20797862489308,2.595031615429365
BM,2002-08-30,-3.65595488781473,2.5001584302447375
BM,2002-09-30,-2.63069190609431,2.434386964780755
BM,2002-10-31,-6.90738557415543,2.2662344707563684
