month,portfolio_return,portfolio_return_decimal,cum_portfolio
2012-01-31,,,
2012-04-30,15.257,0.15256999999999998,1.1525699999999999
2012-05-31,,,
2012-07-31,5.829000000000001,0.05829000000000001,1.2197533052999998
2012-08-31,,,
2012-10-31,2.3354999999999997,0.023354999999999997,1.2482406437452813
2012-11-30,,,
2013-01-31,-20.2411,-0.202411,0.9955830068041551
2013-02-28,,,
2013-04-30,20.4722,0.20472200000000002,1.1994007511231155
2013-05-31,,,
2013-07-31,5.649000000000001,0.05649000000000001,1.2671548995540602
2013-08-31,,,
2013-10-31,10.0522,0.10052199999999999,1.3945318443670336
2013-11-30,,,
2014-01-31,11.9191,0.119191,1.5607474894289848
2014-02-28,,,
2014-04-30,8.143899999999999,0.08143899999999998,1.687853204220592
2014-05-31,,,
2014-07-31,6.503299999999999,0.065033,1.7976193616506697
2014-08-31,,,
2014-10-31,-6.5388,-0.065388,1.6800766268310556
2015-01-31,,,
2015-02-28,,,
2015-04-30,-12.7726,-0.127726,1.4654871595924321
2015-05-31,,,
2015-07-31,-9.0646,-0.090646,1.3326466105240165
2015-10-31,,,
2016-01-31,,,
2016-02-29,7.2517,0.072517,1.4292861447793865
2016-03-31,,,
2016-04-30,,,
2016-05-31,-4.5297,-0.045297000000000004,1.3645437702793146
2016-07-31,,,
2016-08-31,3.8762,0.038762,1.4174362159028813
2016-10-31,6.1051,0.061051,1.503972114319968
2016-11-30,0.8468,0.008468,1.5167077501840294
